"COL0","COL1","COL2","COL3"
"24660120",555.00,32896.00,62720.00
"24660121",487.00,30016.00,68011.00
"24660122",434.00,33920.00,64768.00
"24660123",453.00,31328.00,66304.00
"24660124",577.00,35285.00,68864.00
"24660125",642.00,23488.00,58624.00
"24660126",512.00,29952.00,69376.00
"24660127",461.00,18080.00,64256.00
"24660128",513.00,23616.00,52608.00
"24660129",505.00,28544.00,65792.00
"24660130",596.00,27904.00,67072.00
"24660131",567.00,27776.00,60448.00
"24660132",532.00,23616.00,63616.00
"24660133",636.00,27712.00,67840.00
"24660134",535.00,25344.00,53504.00
"24660135",493.00,31168.00,67840.00
"24660136",317.00,30016.00,54080.00
"24660137",495.00,25440.00,60096.00
"24660138",1831.00,36320.00,58965.00
"24660139",369.00,34816.00,59776.00
"24660140",710.00,30208.00,52672.00
"24660141",470.00,33792.00,67584.00
"24660142",462.00,27072.00,70912.00
"24660143",393.00,27520.00,72448.00
"24660144",1374.00,25152.00,55360.00
"24660145",474.00,26304.00,74325.00
"24660146",556.00,32000.00,60800.00
"24660147",685.00,26304.00,48512.00
"24660148",566.00,30208.00,68608.00
"24660149",1183.00,38784.00,86336.00
"24660150",586.00,30016.00,64128.00
"24660151",419.00,32768.00,72704.00
"24660152",874.00,40320.00,68096.00
"24660153",465.00,20160.00,52992.00
"24660154",475.00,28032.00,68352.00
"24660155",558.00,28480.00,60544.00
"24660156",799.00,17424.00,32640.00
"24660157",521.00,32384.00,61824.00
"24660158",568.00,29248.00,66304.00
"24660159",632.00,31296.00,63040.00
"24660160",412.00,37760.00,93952.00
"24660161",339.00,32704.00,76288.00
"24660162",497.00,31680.00,62720.00
"24660163",1011.00,23680.00,58155.00
"24660164",644.00,27456.00,49408.00
"24660165",960.00,32576.00,64768.00
"24660166",624.00,32192.00,80981.00
"24660167",784.00,23829.00,47040.00
"24660168",440.00,0.00,92672.00
"24660169",522.00,41600.00,79104.00
"24660170",495.00,35712.00,71253.00
"24660171",635.00,36096.00,73472.00
"24660172",409.00,24256.00,54400.00
"24660173",398.00,34496.00,64256.00
"24660174",641.00,27696.00,67200.00
"24660175",572.00,35840.00,68480.00
"24660176",768.00,33920.00,85760.00
"24660177",371.00,30176.00,97536.00
"24660178",450.00,38016.00,96768.00
"24660179",468.00,31168.00,80128.00
"24660180",596.00,35200.00,77312.00
"24660181",918.00,18938.00,50432.00
"24660182",682.00,25632.00,49088.00
"24660183",519.00,26784.00,58112.00
"24660184",432.00,30272.00,53120.00
"24660185",300.00,26304.00,76160.00
"24660186",788.00,33280.00,69632.00
"24660187",556.00,29760.00,68352.00
"24660188",582.00,35264.00,62208.00
"24660189",527.00,24128.00,50688.00
"24660190",752.00,26944.00,55744.00
"24660191",512.00,23616.00,48512.00
"24660192",624.00,23104.00,54912.00
"24660193",429.00,22208.00,49152.00
"24660194",335.00,24896.00,63168.00
"24660195",590.00,37504.00,78592.00
"24660196",426.00,27136.00,51200.00
"24660197",603.00,27968.00,69632.00
"24660198",562.00,40256.00,88405.00
"24660199",435.00,33344.00,81280.00
"24660200",417.00,30336.00,64853.00
"24660201",554.00,28224.00,56192.00
"24660202",488.00,24960.00,49792.00
"24660203",1306.00,32725.00,55360.00
"24660204",462.00,29792.00,54528.00
"24660205",1950.00,33237.00,56619.00
"24660206",448.00,26688.00,46976.00
"24660207",385.00,26304.00,71296.00
"24660208",329.00,31552.00,64192.00
"24660209",387.00,24640.00,59456.00
"24660210",655.00,28992.00,55808.00
"24660211",761.00,29632.00,59008.00
"24660212",563.00,24000.00,50816.00
"24660213",613.00,24768.00,49749.00
"24660214",508.00,23104.00,51200.00
"24660215",544.00,30912.00,56064.00
"24660216",414.00,25472.00,50304.00
"24660217",588.00,26432.00,45952.00
"24660218",593.00,33408.00,61952.00
"24660219",560.00,23616.00,51840.00
"24660220",948.00,22560.00,49024.00
"24660221",347.00,29888.00,56832.00
"24660222",519.00,27584.00,60928.00
"24660223",567.00,24576.00,54272.00
"24660224",422.00,24768.00,60416.00
"24660225",594.00,25856.00,55296.00
"24660226",576.00,29312.00,65792.00
"24660227",700.00,33664.00,57440.00
"24660228",470.00,27072.00,62144.00
"24660229",602.00,26304.00,52672.00
"24660230",506.00,27968.00,55680.00
"24660231",739.00,26816.00,50816.00
"24660232",955.00,26944.00,46080.00
"24660233",1473.00,33707.00,56256.00
"24660234",564.00,28885.00,54848.00
"24660235",833.00,25216.00,67840.00
"24660236",732.00,27691.00,59392.00
"24660238",484.00,21568.00,49152.00
"24660239",836.00,24864.00,51541.00
"24660241",793.00,28928.00,59776.00
"24660242",853.00,24960.00,57984.00
"24660243",864.00,21056.00,55526.00
"24660244",774.00,26048.00,51712.00
"24660245",519.00,21824.00,48768.00
"24660246",877.00,20736.00,48230.00
"24660247",655.00,20192.00,41536.00
"24660248",658.00,20800.00,45696.00
"24660249",640.00,18752.00,46656.00
"24660250",556.00,23072.00,47872.00
"24660251",556.00,26560.00,51232.00
"24660252",602.00,21248.00,48512.00
"24660253",490.00,26112.00,55424.00
"24660254",823.00,36864.00,55968.00
"24660255",617.00,20800.00,50304.00
"24660256",676.00,25664.00,54144.00
"24660257",551.00,23296.00,48000.00
"24660258",618.00,30336.00,56107.00
"24660259",507.00,28096.00,54912.00
"24660260",722.00,25056.00,46208.00
"24660261",428.00,24000.00,55808.00
"24660262",605.00,25920.00,55424.00
"24660263",705.00,26432.00,58880.00
"24660264",1058.00,30080.00,54400.00
"24660265",441.00,22720.00,64384.00
"24660266",640.00,35840.00,54656.00
"24660267",543.00,25472.00,59264.00
"24660268",422.00,32832.00,64384.00
"24660269",521.00,22720.00,54912.00
"24660270",498.00,31392.00,56832.00
"24660271",530.00,25664.00,57472.00
"24660272",425.00,27200.00,57984.00
"24660273",520.00,25248.00,54912.00
"24660274",647.00,32576.00,57792.00
"24660275",1596.00,29888.00,56704.00
"24660276",490.00,27200.00,58624.00
"24660277",532.00,31104.00,61312.00
"24660278",503.00,35712.00,83968.00
"24660279",386.00,28608.00,81152.00
"24660280",471.00,0.00,88149.00
"24660281",575.00,31168.00,66048.00
"24660282",542.00,27776.00,57792.00
"24660283",395.00,24256.00,49579.00
"24660284",713.00,27840.00,56864.00
"24660285",693.00,26368.00,56896.00
"24660286",660.00,24896.00,57173.00
"24660287",445.00,26411.00,58752.00
"24660288",655.00,27477.00,64640.00
"24660289",1023.00,18864.00,53632.00
"24660290",708.00,25024.00,55168.00
"24660291",400.00,24384.00,50304.00
"24660292",674.00,29632.00,47488.00
"24660293",589.00,35200.00,63744.00
"24660294",420.00,27936.00,60928.00
"24660295",601.00,28352.00,61312.00
"24660296",738.00,31360.00,64384.00
"24660297",401.00,0.00,77568.00
"24660298",272.00,0.00,87680.00
"24660299",773.00,33877.00,60800.00
"24660300",599.00,33856.00,65024.00
"24660301",1517.00,44256.00,97408.00
"24660302",927.00,19136.00,73984.00
"24660303",604.00,24512.00,53536.00
"24660304",438.00,27456.00,57429.00
"24660305",449.00,27456.00,51712.00
"24660306",608.00,26944.00,52096.00
"24660307",542.00,35712.00,53376.00
"24660308",386.00,27712.00,59264.00
"24660309",473.00,0.00,76544.00
"24660310",581.00,30016.00,57312.00
"24660311",907.00,28736.00,57813.00
"24660312",534.00,30144.00,61056.00
"24660313",751.00,33920.00,60288.00
"24660314",487.00,29824.00,82944.00
"24660315",398.00,0.00,67840.00
"24660316",568.00,26080.00,59008.00
"24660319",437.00,25920.00,53504.00
"24660320",574.00,27776.00,57600.00
"24660321",750.00,29120.00,52480.00
"24660322",653.00,30379.00,50624.00
"24660323",643.00,30016.00,51712.00
"24660324",579.00,22624.00,54848.00
"24660325",541.00,27584.00,52992.00
"24660326",374.00,30016.00,56832.00
"24660327",593.00,34304.00,54400.00
"24660328",675.00,27712.00,51264.00
"24660329",502.00,22848.00,55808.00
"24660330",599.00,21440.00,50560.00
"24660331",522.00,19776.00,36736.00
"24660332",491.00,19584.00,38656.00
"24660333",474.00,20288.00,47616.00
"24660334",641.00,23008.00,49195.00
"24660335",668.00,19520.00,44864.00
"24660336",563.00,17216.00,35264.00
"24660337",630.00,23360.00,50656.00
"24660338",844.00,22784.00,49664.00
"24660339",583.00,24341.00,52224.00
"24660340",255.00,0.00,63488.00
"24660341",397.00,24000.00,48768.00
"24660342",578.00,18880.00,43904.00
"24660343",528.00,19104.00,51840.00
"24660344",482.00,21952.00,49792.00
"24660345",664.00,19904.00,52608.00
"24660346",755.00,19648.00,51648.00
"24660347",484.00,23040.00,50848.00
"24660348",318.00,18560.00,44971.00
"24660349",482.00,18389.00,53504.00
"24660350",597.00,20928.00,44928.00
"24660351",526.00,24896.00,50688.00
"24660352",525.00,22816.00,55040.00
"24660353",535.00,17456.00,46656.00
"24660354",658.00,20928.00,55680.00
"24660355",533.00,22720.00,46848.00
"24660356",451.00,24256.00,49792.00
"24660357",467.00,18880.00,53632.00
"24660358",596.00,22240.00,54080.00
"24660359",626.00,23104.00,45184.00
"24660360",464.00,20160.00,44928.00
"24660361",550.00,25024.00,51584.00
"24660362",651.00,18368.00,53120.00
"24660363",704.00,21568.00,52416.00
"24660364",768.00,24672.00,50560.00
"24660365",578.00,22144.00,46976.00
"24660366",547.00,29376.00,54912.00
"24660367",824.00,21888.00,46208.00
"24660368",747.00,24320.00,49184.00
"24660369",575.00,24128.00,48192.00
"24660370",589.00,12521.00,38784.00
"24660371",543.00,26176.00,51776.00
"24660372",735.00,22528.00,43648.00
"24660373",685.00,19392.00,37888.00
"24660374",496.00,27904.00,52992.00
"24660375",493.00,24448.00,54592.00
"24660376",293.00,29984.00,55296.00
"24660377",321.00,26176.00,59264.00
"24660378",299.00,29120.00,51008.00
"24660379",465.00,28352.00,56576.00
"24660380",368.00,26368.00,54400.00
"24660381",1125.00,20160.00,45696.00
"24660382",494.00,27712.00,54144.00
"24660383",573.00,25600.00,57728.00
"24660384",532.00,24960.00,53696.00
"24660385",666.00,29120.00,53547.00
"24660386",523.00,29248.00,73984.00
"24660387",408.00,36864.00,92928.00
"24660388",461.00,28992.00,63872.00
"24660389",713.00,23104.00,42880.00
"24660390",408.00,27840.00,60544.00
"24660391",367.00,27840.00,60800.00
"24660392",450.00,26688.00,60032.00
"24660393",639.00,25376.00,50304.00
"24660394",587.00,27072.00,56789.00
"24660395",550.00,24640.00,59520.00
"24660396",467.00,24704.00,58112.00
"24660397",638.00,23520.00,54496.00
"24660398",1035.00,28256.00,57984.00
"24660399",436.00,34496.00,84736.00
"24660400",566.00,29760.00,80384.00
"24660401",528.00,40064.00,90112.00
"24660402",760.00,29120.00,53248.00
"24660403",351.00,30400.00,51392.00
"24660404",424.00,27456.00,74496.00
"24660405",583.00,27200.00,54144.00
"24660406",414.00,24256.00,52864.00
"24660407",449.00,24000.00,52608.00
"24660408",527.00,24832.00,51328.00
"24660409",503.00,18752.00,38400.00
"24660410",464.00,21696.00,48768.00
"24660411",479.00,18496.00,46656.00
"24660412",728.00,23360.00,49408.00
"24660413",766.00,18261.00,48512.00
"24660414",571.00,24640.00,55040.00
"24660415",661.00,22848.00,58624.00
"24660416",419.00,22016.00,53632.00
"24660417",414.00,30400.00,60032.00
"24660418",263.00,20288.00,60800.00
"24660419",439.00,30528.00,73472.00
"24660420",492.00,24640.00,48768.00
"24660421",610.00,23680.00,49024.00
"24660422",541.00,25152.00,53376.00
"24660423",458.00,20032.00,48832.00
"24660424",464.00,23808.00,49536.00
"24660425",565.00,21984.00,49024.00
"24660426",506.00,24512.00,52352.00
"24660427",494.00,28288.00,49920.00
"24660428",761.00,28352.00,49792.00
"24660429",606.00,27648.00,55296.00
"24660430",444.00,25024.00,55168.00
"24660431",496.00,24640.00,57664.00
"24660432",620.00,28032.00,59691.00
"24660433",666.00,21360.00,54464.00
"24660434",633.00,19264.00,56832.00
"24660435",558.00,29344.00,70400.00
"24660436",468.00,18368.00,59477.00
"24660437",346.00,27883.00,57984.00
"24660438",410.00,28032.00,53376.00
"24660439",342.00,34528.00,64128.00
"24660440",290.00,32896.00,62912.00
"24660441",298.00,29440.00,65408.00
"24660442",581.00,32896.00,72960.00
"24660443",519.00,34517.00,64384.00
"24660444",507.00,28331.00,64000.00
"24660445",657.00,30656.00,67328.00
"24660446",317.00,33920.00,60288.00
"24660447",399.00,40832.00,68096.00
"24660448",435.00,31424.00,61056.00
"24660449",366.00,30784.00,61056.00
"24660450",552.00,33408.00,68352.00
"24660451",619.00,32320.00,67072.00
"24660452",466.00,29248.00,64128.00
"24660453",657.00,34368.00,70144.00
"24660454",475.00,32000.00,62976.00
"24660455",383.00,31296.00,63104.00
"24660456",780.00,23701.00,57728.00
"24660457",520.00,21120.00,49408.00
"24660458",659.00,24384.00,53888.00
"24660459",699.00,21760.00,63104.00
"24660460",696.00,27776.00,67200.00
"24660461",601.00,31744.00,69376.00
"24660462",550.00,35456.00,74496.00
"24660463",676.00,34752.00,64384.00
"24660464",617.00,34688.00,69888.00
"24660465",535.00,37248.00,72192.00
"24660466",472.00,36992.00,76032.00
"24660467",420.00,35456.00,79104.00
"24660468",671.00,35200.00,66048.00
"24660469",501.00,31424.00,69120.00
"24660470",652.00,36224.00,63872.00
"24660471",559.00,32704.00,69120.00
"24660472",629.00,32064.00,64768.00
"24660473",657.00,18944.00,57856.00
"24660474",638.00,36096.00,74944.00
"24660475",499.00,33600.00,66944.00
"24660476",584.00,32960.00,63104.00
"24660478",732.00,28096.00,64384.00
"24660479",668.00,27584.00,60288.00
"24660480",465.00,25344.00,55936.00
"24660481",419.00,19776.00,49792.00
"24660482",541.00,29376.00,51968.00
"24660483",462.00,24576.00,57856.00
"24660484",686.00,24064.00,57536.00
"24660485",442.00,24384.00,54656.00
"24660486",941.00,42752.00,69632.00
"24660487",567.00,24064.00,51456.00
"24660488",702.00,28864.00,52416.00
"24660489",542.00,23808.00,56192.00
"24660490",567.00,31264.00,59264.00
"24660491",732.00,18608.00,54400.00
"24660492",663.00,26752.00,61696.00
"24660493",505.00,30208.00,60493.00
"24660494",613.00,29888.00,62976.00
"24660495",383.00,29248.00,72960.00
"24660496",1052.00,28352.00,65877.00
"24660497",557.00,21824.00,59349.00
"24660498",680.00,31680.00,61184.00
"24660499",539.00,25216.00,59264.00
"24660500",845.00,30016.00,64576.00
"24660501",706.00,37696.00,70400.00
"24660502",925.00,25536.00,58496.00
"24660503",506.00,34432.00,74496.00
"24660504",511.00,38592.00,84224.00
"24660505",497.00,18240.00,45184.00
"24660506",688.00,34560.00,73472.00
"24660507",463.00,27616.00,59008.00
"24660508",539.00,18752.00,46592.00
"24660509",505.00,31296.00,66304.00
"24660510",448.00,18880.00,41216.00
"24660511",412.00,26624.00,50560.00
"24660512",1082.00,20416.00,43776.00
"24660513",884.00,33024.00,56917.00
"24660514",467.00,36096.00,62848.00
"24660515",912.00,26944.00,56320.00
"24660516",1437.00,26944.00,45376.00
"24660517",1013.00,27840.00,52928.00
"24660518",1065.00,29760.00,51712.00
"24660525",587.00,20800.00,41856.00
"24660526",739.00,34944.00,63168.00
"24660530",647.00,22976.00,62912.00
"24660533",528.00,19744.00,46976.00
"24660536",1725.00,30784.00,53461.00
"24660537",993.00,21696.00,37632.00
"24660538",500.00,23616.00,42816.00
"24660539",667.00,32704.00,65792.00
"24660540",1115.00,25056.00,42880.00
"24660541",571.00,29504.00,61824.00
"24660542",439.00,26432.00,64256.00
"24660543",523.00,29760.00,66133.00
"24660544",517.00,26816.00,70912.00
"24660545",737.00,30869.00,60910.00
"24660546",1010.00,23104.00,74496.00
"24660547",723.00,22080.00,47360.00
"24660548",580.00,29888.00,52928.00
"24660550",472.00,24576.00,56576.00
"24660551",421.00,20416.00,48768.00
"24660552",706.00,20416.00,43392.00
"24660555",612.00,20544.00,56405.00
"24660556",1082.00,25472.00,49749.00
"24660557",593.00,25920.00,42048.00
"24660558",660.00,23616.00,43136.00
"24660560",527.00,0.00,107264.00
"24660561",633.00,27520.00,81408.00
"24660562",626.00,16448.00,45632.00
"24660563",573.00,29888.00,64064.00
"24660564",608.00,45440.00,75093.00
"24660565",946.00,30720.00,59776.00
"24660566",578.00,36352.00,86784.00
"24660567",523.00,24064.00,57003.00
"24660568",593.00,27584.00,63552.00
"24660569",477.00,24512.00,53632.00
"24660570",508.00,17600.00,39552.00
"24660571",706.00,20368.00,41984.00
"24660572",555.00,21056.00,42880.00
"24660576",534.00,24768.00,51296.00
"24660577",428.00,27328.00,52992.00
"24660578",847.00,24448.00,44544.00
"24660579",547.00,18752.00,48384.00
"24660580",317.00,0.00,43648.00
"24660581",735.00,32608.00,55424.00
"24660582",848.00,23744.00,56448.00
"24660583",867.00,28352.00,66901.00
"24660584",527.00,34816.00,83072.00
"24660585",826.00,40256.00,77568.00
"24660586",500.00,32192.00,71168.00
"24660587",465.00,38016.00,78080.00
"24660588",517.00,0.00,96000.00
"24660590",344.00,0.00,75520.00
"24660594",539.00,26432.00,74496.00
"24660595",2145.00,31040.00,60160.00
"24660596",602.00,20544.00,55424.00
"24660597",449.00,28096.00,55744.00
"24660598",409.00,33920.00,69248.00
"24660599",448.00,45184.00,86016.00
"24660600",589.00,18483.00,50816.00
"24660601",708.00,21504.00,64384.00
"24660602",477.00,30272.00,62080.00
"24660603",393.00,41344.00,87296.00
"24660604",458.00,34176.00,55168.00
"24660605",528.00,26304.00,71424.00
"24660606",351.00,32000.00,71168.00
"24660607",903.00,29632.00,57429.00
"24660608",1056.00,37248.00,67226.00
"24660609",1012.00,21536.00,54144.00
"24660610",528.00,19328.00,43008.00
"24660611",1705.00,28384.00,53862.00
"24660613",922.00,22763.00,51520.00
"24660614",416.00,19264.00,48128.00
"24660615",552.00,12523.00,41472.00
"24660616",857.00,18688.00,46944.00
"24660617",341.00,23296.00,54336.00
"24660618",625.00,22208.00,53632.00
"24660619",541.00,27264.00,70144.00
"24660620",447.00,23488.00,57728.00
"24660621",369.00,19008.00,43136.00
"24660622",513.00,17701.00,41344.00
"24660623",290.00,21888.00,48640.00
"24660624",435.00,19968.00,49536.00
"24660625",544.00,16640.00,38912.00
"24660626",479.00,28096.00,67584.00
"24660627",485.00,25216.00,75904.00
"24660628",553.00,39040.00,74667.00
"24660629",786.00,35994.00,58240.00
"24660630",476.00,34176.00,144896.00
"24660631",697.00,32704.00,87744.00
"24660632",485.00,39360.00,79104.00
"24660633",597.00,26752.00,64384.00
"24660634",673.00,35392.00,104619.00
"24660635",877.00,27264.00,53248.00
"24660636",568.00,31040.00,64768.00
"24660637",542.00,28992.00,62720.00
"24660638",456.00,39936.00,86272.00
"24660639",490.00,43904.00,84736.00
"24660640",418.00,51328.00,84224.00
"24660641",531.00,45760.00,84224.00
"24660642",485.00,37248.00,100608.00
"24660643",610.00,39211.00,80448.00
"24660644",613.00,40384.00,90368.00
"24660645",910.00,32320.00,80640.00
"24660646",587.00,35264.00,67328.00
"24660649",796.00,34944.00,126976.00
"24660650",1251.00,39168.00,87296.00
"24660652",541.00,39552.00,74112.00
"24660654",387.00,77312.00,178688.00
"24660655",459.00,26432.00,64896.00
"24660656",602.00,20448.00,46208.00
"24660657",744.00,24384.00,52480.00
"24660659",607.00,24512.00,58432.00
"24660660",556.00,28864.00,62080.00
"24660661",756.00,25536.00,45376.00
"24660662",245.00,,
"24660663",613.00,22112.00,51456.00
"24660664",1020.00,19584.00,45312.00
"24660665",504.00,21312.00,50816.00
"24660666",793.00,20352.00,47872.00
"24660667",517.00,21440.00,50816.00
"24660668",457.00,23136.00,53312.00
"24660669",515.00,22016.00,61141.00
"24660670",749.00,18432.00,45952.00
"24660671",764.00,18368.00,47360.00
"24660672",477.00,17984.00,46720.00
"24660673",449.00,23104.00,49984.00
"24660676",451.00,12768.00,37504.00
"24660677",537.00,25920.00,56832.00
"24660678",948.00,18656.00,49067.00
"24660679",563.00,22208.00,46464.00
"24660680",416.00,20288.00,54720.00
"24660681",1002.00,18752.00,55424.00
"24660682",224.00,,
"24660683",444.00,22976.00,46720.00
"24660684",562.00,22912.00,56960.00
"24660685",598.00,22816.00,50432.00
"24660686",358.00,26688.00,50048.00
"24660687",933.00,21760.00,48896.00
"24660688",602.00,26432.00,42240.00
"24660689",766.00,19520.00,42368.00
"24660690",593.00,25408.00,57984.00
"24660691",576.00,27776.00,68864.00
"24660692",611.00,25408.00,44032.00
"24660693",736.00,24512.00,46805.00
"24660694",637.00,24384.00,37888.00
"24660695",997.00,23744.00,38272.00
"24660696",549.00,20373.00,36352.00
"24660697",674.00,12768.00,36352.00
"24660698",248.00,,
"24660699",382.00,17536.00,35584.00
"24660700",493.00,27861.00,34816.00
"24660701",475.00,31104.00,46208.00
"24660710",530.00,0.00,289451.00
"24660711",654.00,109568.00,285696.00
"24660712",493.00,0.00,259243.00
"24660713",511.00,0.00,280576.00
"24660714",474.00,0.00,302080.00
"24660715",562.00,53376.00,161280.00
"24660716",525.00,51200.00,157952.00
"24660717",662.00,49664.00,126720.00
"24660718",584.00,43264.00,101632.00
"24660719",381.00,46208.00,131413.00
"24660722",405.00,29888.00,70400.00
"24660723",557.00,25984.00,54400.00
"24660724",400.00,20352.00,54912.00
"24660725",591.00,22144.00,61056.00
"24660726",498.00,26944.00,94208.00
"24660727",688.00,53888.00,138752.00
"24660728",640.00,31936.00,108544.00
"24660729",329.00,33664.00,66816.00
"24660730",535.00,27072.00,62720.00
"24660731",354.00,27200.00,72960.00
"24660732",304.00,28096.00,62336.00
"24660733",486.00,34048.00,69248.00
"24660734",489.00,29760.00,60928.00
"24660735",560.00,28416.00,64128.00
"24660736",845.00,22336.00,45120.00
"24660737",691.00,18752.00,41728.00
"24660738",470.00,21568.00,43520.00
"24660741",1490.00,23552.00,34656.00
"24660742",333.00,25408.00,52160.00
"24660743",396.00,23040.00,52608.00
"24660744",1141.00,23872.00,57216.00
"24660745",530.00,29248.00,106581.00
"24660746",537.00,43904.00,94336.00
"24660748",566.00,24576.00,62848.00
"24660749",763.00,20139.00,44224.00
"24660750",577.00,29376.00,66048.00
"24660751",624.00,26656.00,58795.00
"24660752",444.00,20064.00,62336.00
"24660753",517.00,18598.00,51584.00
"24660754",605.00,31616.00,108800.00
"24660755",1134.00,24832.00,57472.00
"24660756",509.00,33088.00,142080.00
"24660757",623.00,39424.00,72704.00
"24660758",414.00,20160.00,85504.00
"24660759",775.00,47488.00,120661.00
"24660760",466.00,61056.00,156160.00
"24660761",535.00,44224.00,134656.00
"24660762",634.00,18240.00,79360.00
"24660763",520.00,24512.00,50048.00
"24660764",817.00,20416.00,43904.00
"24660765",687.00,22592.00,53675.00
"24660766",536.00,29632.00,64768.00
"24660767",490.00,25664.00,112128.00
"24660768",515.00,36992.00,119808.00
"24660769",771.00,32320.00,120832.00
"24660770",492.00,0.00,164693.00
"24660771",628.00,43264.00,133632.00
"24660772",511.00,29504.00,64896.00
"24660773",500.00,31040.00,59008.00
"24660774",659.00,21696.00,49792.00
"24660775",515.00,18091.00,49920.00
"24660776",662.00,27936.00,63915.00
"24660777",430.00,22720.00,65536.00
"24660778",509.00,25536.00,54784.00
"24660779",557.00,25408.00,56704.00
"24660780",565.00,25536.00,60032.00
"24660781",513.00,0.00,141824.00
"24660783",574.00,0.00,103680.00
"24660784",472.00,48128.00,139776.00
"24660785",530.00,92416.00,214528.00
"24660786",411.00,0.00,172544.00
"24660787",395.00,0.00,120832.00
"24660788",842.00,41344.00,74944.00
"24660794",986.00,25024.00,76160.00
"24660797",442.00,25920.00,69504.00
"24660798",591.00,36480.00,84352.00
"24660799",568.00,0.00,71424.00
"24660800",522.00,26304.00,75904.00
